2017/01/23 09:41:59 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/01/23 09:41:59 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-43 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-43 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread started:  1-44 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-44 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-44 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread started:  1-45 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-45 
2017/01/23 09:42:12 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-45 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread started:  1-46 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-46 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-46 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread started:  1-47 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-47 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-47 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread started:  1-48 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-48 
2017/01/23 09:42:13 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-48 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread started:  1-49 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-49 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-49 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread started:  1-50 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-50 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-50 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread started:  1-51 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-51 
2017/01/23 09:42:14 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-51 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread started:  1-52 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-52 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-52 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread started:  1-53 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-53 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-53 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread started:  1-54 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread is done:  1-54 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread finished:  1-54 
2017/01/23 09:42:15 INFO  - jmeter.threads.JMeterThread: Thread started:  1-55 
